id,name,content,qty,created_at,updated_at,price_net_buy,price_net_sell,product_index,buy_number,length,gramature,structure,color,product_kind
803,"Złocisty jasny brąz  38 cm, 71 g","1111111198, Złocisty jasny brąz  38 cm, 71 g",1,,,,640.000000,1111111198,,,,,,włosy
804,"Ciemny brąz 35 cm, 27 g","1111111199, Ciemny brąz 35 cm, 27 g",1,,,,220.000000,1111111199,,,,,,włosy
805,"Jasny brąz 39 cm, 44 g","11111112, Jasny brąz 39 cm, 44 g",1,,,,400.000000,11111112,,,,,,włosy
806,"Średni jasny brąz 35 cm, 52 g","111111121, Średni jasny brąz 35 cm, 52 g",1,,,,360.000000,111111121,,,,,,włosy
807,"Czarny 42 cm, 74 g","111111122, Czarny 42 cm, 74 g",1,,,,590.000000,111111122,,,,,,włosy
808,"Średni brąz 44 cm, 20 g","111111125, Średni brąz 44 cm, 20 g",1,,,,200.000000,111111125,,,,,,włosy
809,"Średni brąz 45 cm, 32 g","111111127, Średni brąz 45 cm, 32 g",1,,,,390.000000,111111127,,,,,,włosy
810,"Jasny brąz 33 cm, 78 g","111111130, Jasny brąz 33 cm, 78 g",1,,,,620.000000,111111130,,,,,,włosy
811,"Średni brąz 45 cm, 49 g","111111131, Średni brąz 45 cm, 49 g",1,,,,490.000000,111111131,,,,,,włosy
812,"Średni brąz 45 cm, 79 g","111111133, Średni brąz 45 cm, 79 g",1,,,,790.000000,111111133,,,,,,włosy
813,"Jasny brąz 34 cm, 112 g","111111137, Jasny brąz 34 cm, 112 g",1,,,,790.000000,111111137,,,,,,włosy
814,"Złocisty jasny brąz 40 cm, 42 g","111111139, Złocisty jasny brąz 40 cm, 42 g",1,,,,380.000000,111111139,,,,,,włosy
815,"Średni brąz 32 cm, 63 g","11111114, Średni brąz 32 cm, 63 g",1,,,,500.000000,11111114,,,,,,włosy
816,"Średni brąz 44 cm, 105 g","111111140, Średni brąz 44 cm, 105 g",1,,,,1160.000000,111111140,,,,,,włosy
817,"Średni jasny brąz 45 cm, 112 g","111111142, Średni jasny brąz 45 cm, 112 g",1,,,,990.000000,111111142,,,,,,włosy
818,"Średni brąz 37 cm, 24 g","111111143, Średni brąz 37 cm, 24 g",1,,,,190.000000,111111143,,,,,,włosy
819,"Rudy 31 cm, 70 g","111111148, Rudy 31 cm, 70 g",1,,,,560.000000,111111148,,,,,,włosy
820,"Średni brąz 34 cm, 110 g","11111115, Średni brąz 34 cm, 110 g",1,,,,770.000000,11111115,,,,,,włosy
821,"Jasny brąz 46 cm, 69 g","111111150, Jasny brąz 46 cm, 69 g",0,,,,690.000000,111111150,,,,,,włosy
822,"Jasny brąz 34 cm, 36 g","111111151, Jasny brąz 34 cm, 36 g",1,,,,180.000000,111111151,,,,,,włosy
823,"Złocisty rudy 34 cm, 49 g","111111153, Złocisty rudy 34 cm, 49 g",0,,,,390.000000,111111153,,,,,,włosy
824,"Czarny 35 cm, 45 g","111111154, Czarny 35 cm, 45 g",1,,,,360.000000,111111154,,,,,,włosy
825,"Ciemny brąz 45 cm, 48 g","111111155, Ciemny brąz 45 cm, 48 g",1,,,,580.000000,111111155,,,,,,włosy
826,"Jasny brąz 32 cm, 80 g","111111157, Jasny brąz 32 cm, 80 g",1,,,,640.000000,111111157,,,,,,włosy
827,"Jasny brąz 36 cm, 73 g","111111160, Jasny brąz 36 cm, 73 g",0,,,,580.000000,111111160,,,,,,włosy
828,"Ciemny brąz 34 cm, 50 g","111111161, Ciemny brąz 34 cm, 50 g",1,,,,400.000000,111111161,,,,,,włosy
829,"Ciemny średni brąz 40 cm, 29 g","111111163, Ciemny średni brąz 40 cm, 29 g",1,,,,320.000000,111111163,,,,,,włosy
830,"Złocisty jasny brąz 35 cm, 12 g","111111165, Złocisty jasny brąz 35 cm, 12 g",1,,,,80.000000,111111165,,,,,,włosy
831,"Złocisty jasny brąz 35 cm, 48 g","111111166, Złocisty jasny brąz 35 cm, 48 g",1,,,,390.000000,111111166,,,,,,włosy
832,"Ciemny średni brąz 34 cm, 80 g","111111168, Ciemny średni brąz 34 cm, 80 g",1,,,,560.000000,111111168,,,,,,włosy
833,"Średni brąz 36 cm, 89 g","111111169, Średni brąz 36 cm, 89 g",1,,,,710.000000,111111169,,,,,,włosy
834,"Jasny brąz 40 cm, 48 g","11111117, Jasny brąz 40 cm, 48 g",1,,,,440.000000,11111117,,,,,,włosy
835,"Średni brąz 36 cm, 158 g","111111171, Średni brąz 36 cm, 158 g",1,,,,1100.000000,111111171,,,,,,włosy
836,"Jasny brąz 39 cm, 70 g","111111172, Jasny brąz 39 cm, 70 g",1,,,,560.000000,111111172,,,,,,włosy
837,"Średni brąz 38 cm, 29 g","111111174, Średni brąz 38 cm, 29 g",1,,,,290.000000,111111174,,,,,,włosy
838,"Średni brąz 38 cm, 36 g","111111175, Średni brąz 38 cm, 36 g",0,,,,330.000000,111111175,,,,,,włosy
839,"Średni jasny brąz 34 cm, 110 g","111111176, Średni jasny brąz 34 cm, 110 g",1,,,,880.000000,111111176,,,,,,włosy
840,"Złocisty jasny brąz 38 cm, 58 g","111111177, Złocisty jasny brąz 38 cm, 58 g",1,,,,350.000000,111111177,,,,,,włosy
841,"Jasny brąz 34 cm, 50 g","111111178, Jasny brąz 34 cm, 50 g",1,,,,300.000000,111111178,,,,,,włosy
842,"Ciemny brąz 34 cm, 50 g","111111179, Ciemny brąz 34 cm, 50 g",1,,,,300.000000,111111179,,,,,,włosy
843,Ciemny brąz 41 cm 23 g,"111111180, Ciemny brąz 41 cm 23 g",1,,,,260.000000,111111180,,,,,,włosy
844,"Jasny brąz 40 cm, 62 g","111111181, Jasny brąz 40 cm, 62 g",1,,,,560.000000,111111181,,,,,,włosy
845,"Jasny brąz 40 cm, 30 g","111111183, Jasny brąz 40 cm, 30 g",1,,,,180.000000,111111183,,,,,,włosy
846,"Średni brąz 39 cm, 55 g","111111186, Średni brąz 39 cm, 55 g",1,,,,330.000000,111111186,,,,,,włosy
847,"Średni brąz 33 cm, 114 g","111111188, Średni brąz 33 cm, 114 g",1,,,,690.000000,111111188,,,,,,włosy
848,"Średni jasny brąz 45 cm, 22 g","111111189, Średni jasny brąz 45 cm, 22 g",1,,,,270.000000,111111189,,,,,,włosy
849,"Złocisty jasny brąz 31 cm, 75 g","111111190, Złocisty jasny brąz 31 cm, 75 g",1,,,,530.000000,111111190,,,,,,włosy
850,"Średni brąz 39 cm, 45 g","111111191, Średni brąz 39 cm, 45 g",1,,,,410.000000,111111191,,,,,,włosy
851,"Jasny brąz 40 cm, 49 g","111111192, Jasny brąz 40 cm, 49 g",0,,,,490.000000,111111192,,,,,,włosy
852,"Złocisty jasny brąz 40 cm, 50 g","111111194, Złocisty jasny brąz 40 cm, 50 g",1,,,,400.000000,111111194,,,,,,włosy
853,"Średni brąz 43 cm, 75 g","111111195, Średni brąz 43 cm, 75 g",1,,,,680.000000,111111195,,,,,,włosy
854,"Jasny brąz 36 cm, 87 g","111111196, Jasny brąz 36 cm, 87 g",0,,,,520.000000,111111196,,,,,,włosy
855,"Średni brąz 45 cm, 70 g","111111197, Średni brąz 45 cm, 70 g",1,,,,840.000000,111111197,,,,,,włosy
856,"Jasny brąz 42 cm, 90 g","11111122, Jasny brąz 42 cm, 90 g",0,,,,990.000000,11111122,,,,,,włosy
857,"Rudy 40 cm, 60 g","11111123, Rudy 40 cm, 60 g",1,,,,600.000000,11111123,,,,,,włosy
858,"Średni jasny brąz 45 cm, 87 g","11111124, Średni jasny brąz 45 cm, 87 g",1,,,,960.000000,11111124,,,,,,włosy
859,"Ciemny średni brąz 38 cm, 50 g","11111125, Ciemny średni brąz 38 cm, 50 g",1,,,,350.000000,11111125,,,,,,włosy
860,"Złocisty jasny brąz zimny mysi blond 40 cm, 127 g","11111127, Złocisty jasny brąz zimny mysi blond 40 cm, 127 g",1,,,,1900.000000,11111127,,,,,,włosy
861,"Średni brąz 44 cm, 190 g","11111128, Średni brąz 44 cm, 190 g",1,,,,2280.000000,11111128,,,,,,włosy
862,"Jasny brąz 42 cm, 80 g","11111129, Jasny brąz 42 cm, 80 g",0,,,,720.000000,11111129,,,,,,włosy
863,"Jasny brąz 32 cm, 32 g","11111131, Jasny brąz 32 cm, 32 g",1,,,,260.000000,11111131,,,,,,włosy
864,"Średni jasny brąz 41 cm, 72 g","11111132, Średni jasny brąz 41 cm, 72 g",1,,,,720.000000,11111132,,,,,,włosy
865,"Średni brąz 40 cm, 33 g","11111136, Średni brąz 40 cm, 33 g",1,,,,300.000000,11111136,,,,,,włosy
866,"Jasny brąz 43 cm, 86 g","11111140, Jasny brąz 43 cm, 86 g",1,,,,950.000000,11111140,,,,,,włosy
867,"Złocisty jasny brąz 34 cm, 70 g","11111143, Złocisty jasny brąz 34 cm, 70 g",1,,,,560.000000,11111143,,,,,,włosy
868,"Średni jasny brąz 33 cm, 77 g","11111144, Średni jasny brąz 33 cm, 77 g",1,,,,540.000000,11111144,,,,,,włosy
869,"Średni jasny brąz 45 cm, 66 g","11111147, Średni jasny brąz 45 cm, 66 g",1,,,,730.000000,11111147,,,,,,włosy
870,"Złocisty jasny brąz 42 cm, 187 g","1111115, Złocisty jasny brąz 42 cm, 187 g",0,,,,2060.000000,1111115,,,,,,włosy
871,"Średni brąz 45 cm, 60 g","11111152, Średni brąz 45 cm, 60 g",0,,,,540.000000,11111152,,,,,,włosy
872,"Średni jasny brąz 35 cm, 50 g","11111153, Średni jasny brąz 35 cm, 50 g",1,,,,400.000000,11111153,,,,,,włosy
873,"Rudy 33 cm, 20 g","11111158, Rudy 33 cm, 20 g",1,,,,160.000000,11111158,,,,,,włosy
874,"Jasny brąz 45 cm, 65 g","11111159, Jasny brąz 45 cm, 65 g",1,,,,650.000000,11111159,,,,,,włosy
875,"Ciemny średni brąz 45 cm, 93 g","11111161, Ciemny średni brąz 45 cm, 93 g",1,,,,1120.000000,11111161,,,,,,włosy
