"id","name","content","qty","created_at","updated_at","image__url","image__thumb__url","price_net_buy","price_net_sell","product_index","buy_number","length","gramature","structure","color","product_kind"
"158","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, kręcone, 55, #4","400","2019-07-22T07:54:07.280Z","2019-07-22T07:54:07.280Z","null","null","null","6.09","null","null","55.0","0.7","kręcone","#4","włosy"
"159","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, kręcone, 55, #6","725","2019-07-22T07:54:07.288Z","2019-07-22T07:54:07.288Z","null","null","null","6.09","null","null","55.0","0.7","kręcone","#6","włosy"
"160","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, kręcone, 55, #8","650","2019-07-22T07:54:07.297Z","2019-07-22T07:54:07.297Z","null","null","null","6.09","null","null","55.0","0.7","kręcone","#8","włosy"
"161","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, kręcone, 55, #10","0","2019-07-22T07:54:07.305Z","2019-07-22T07:54:07.305Z","null","null","null","6.09","null","null","55.0","0.7","kręcone","#10","włosy"
"162","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, kręcone, 55, #12","0","2019-07-22T07:54:07.314Z","2019-07-22T07:54:07.314Z","null","null","null","6.09","null","null","55.0","0.7","kręcone","#12","włosy"
"163","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, kręcone, 55, #16","700","2019-07-22T07:54:07.322Z","2019-07-22T07:54:07.322Z","null","null","null","6.09","null","null","55.0","0.7","kręcone","#16","włosy"
"164","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, kręcone, 55, #18","450","2019-07-22T07:54:07.330Z","2019-07-22T07:54:07.330Z","null","null","null","6.09","null","null","55.0","0.7","kręcone","#18","włosy"
"165","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, kręcone, 55, #20","300","2019-07-22T07:54:07.339Z","2019-07-22T07:54:07.339Z","null","null","null","6.09","null","null","55.0","0.7","kręcone","#20","włosy"
"166","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, kręcone, 55, #18/22","0","2019-07-22T07:54:07.347Z","2019-07-22T07:54:07.347Z","null","null","null","6.09","null","null","55.0","0.7","kręcone","#18/22","włosy"
"167","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, kręcone, 55, #22","900","2019-07-22T07:54:07.355Z","2019-07-22T07:54:07.355Z","null","null","null","6.09","null","null","55.0","0.7","kręcone","#22","włosy"
"168","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, kręcone, 55, #24","1575","2019-07-22T07:54:07.364Z","2019-07-22T07:54:07.364Z","null","null","null","6.09","null","null","55.0","0.7","kręcone","#24","włosy"
"169","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, kręcone, 55, #27","0","2019-07-22T07:54:07.372Z","2019-07-22T07:54:07.372Z","null","null","null","6.09","null","null","55.0","0.7","kręcone","#27","włosy"
"170","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, kręcone, 55, #613","1075","2019-07-22T07:54:07.380Z","2019-07-22T07:54:07.380Z","null","null","null","6.09","null","null","55.0","0.7","kręcone","#613","włosy"
"171","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, kręcone, 55, #30","0","2019-07-22T07:54:07.388Z","2019-07-22T07:54:07.388Z","null","null","null","6.09","null","null","55.0","0.7","kręcone","#30","włosy"
"172","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, kręcone, 55, #33","0","2019-07-22T07:54:07.397Z","2019-07-22T07:54:07.397Z","null","null","null","6.09","null","null","55.0","0.7","kręcone","#33","włosy"
"173","Włosy Słowiańskie pod keratynę","Włosy Słowiańskie pod keratynę, ,kręcone, 55, #130","0","2019-07-22T07:54:07.405Z","2019-07-22T07:54:07.405Z","null","null","null","6.09","null","null","55.0","0.7","kręcone","#130","włosy"
